MCC Medicine Reg. No.	Applicants MCC Licence No	Applicant Name	Nappi Code	ATC 4	Medicine Schedule	Medicine Proprietary Name	Active Ingredients	Strength	Pack Size	Quantity	Manufacturer Price	Logistics Fee	VAT	SEP	Unit Price	Effective Date	Originator or Generic
453220540	0000001067	Baroque Pharmaceuticals (Pty) Ltd	717960001	LO4AA	S4	Xience Xpedition-4.0 x 33mm	Everolimus	100 Âµg/cmÂ² DES	1	1	9635.25	362.25	1499.63	11497.13	11497.13		Originator
453220540	0000001067	Baroque Pharmaceuticals (Pty) Ltd	717961001	LO4AA	S4	Xience Xpedition-4.0 x 38mm	Everolimus	100 Âµg/cmÂ² DES	1	1	9635.25	362.25	1499.63	11497.13	11497.13	2018-04-01	Originator
34340132	0000000620	Bayer (Pty) Ltd	530671003	G02BA	S4	Nova T 380	Copper Surface Area 380 Square Mm	380 mm^2 IUD	1	1	359.75	49	61.31	470.06	470.06	2018-04-01	Originator
341880494	0000000620	Bayer (Pty) Ltd	700089001	G03AA	S3	Yasmin	Drospirenone	3 mg TAB	28	1	112.6	15.32	19.19	147.11	5.25		Originator
341880494	0000000620	Bayer (Pty) Ltd	700089001	G03AA	S3	Yasmin	Ethinylestradiol										
34280383	0000000620	Bayer (Pty) Ltd	700229001	V08CA	S2	Gadovist 7.5 Ml	Gadobutrol	604.72 mg/ml PFS	7.5	1	355.26	48.63	60.58	464.47	61.93		Originator
34280383	0000000620	Bayer (Pty) Ltd	700229002	V08CA	S2	Gadovist 7.5 Ml	Gadobutrol	604.72 mg/ml PFS	4	5	2085.1	285.39	355.57	2726.06	136.3	2018-04-01	Originator
30340185	0000000620	Bayer (Pty) Ltd	700474003	L03AB	S4	Betaferon Prefilled Syr	Interferon Beta-1b	0.25 mg/ml PFS	15	1	8127.16	1536.24	1449.51	11112.91	740.86	2018-04-01	Originator
367150515	0000000620	Bayer (Pty) Ltd	701067001	G04BE	S4	Levitra 5	Vardenafil Monohydrochloride Trihydrate Equivqlent To 5mg Vardenafil	5 mg TAB 	4	1	111.08	10.84	18.29	140.21	35.05		Originator
367150516	0000000620	Bayer (Pty) Ltd	701069001	G04BE	S4	Levitra 10	Vardenafil Monohydrochloride Trihydrate Equivqlent To 10mg Vardenafil	10 mg TAB 	2	1	111.08	10.84	18.29	140.21	70.1	2018-04-01	Originator
367150516	0000000620	Bayer (Pty) Ltd	701069002	G04BE	S4	Levitra 10	Vardenafil Monohydrochloride Trihydrate Equivqlent To 10mg Vardenafil	10 mg TAB 	4	1	222.17	21.67	36.58	280.42	70.1		Originator
367150517	0000000620	Bayer (Pty) Ltd	701071001	G04BE	S4	Levitra 20	Vardenafil	20 mg TAB	4	1	444.6	42.46	73.06	560.12	140.03	2018-04-01	Originator
367150517	0000000620	Bayer (Pty) Ltd	701071003	G04BE	S4	Levitra 20	Vardenafil	20 mg TAB	2	1	221.88	21.65	36.53	280.06	140.03	2018-04-01	Originator
3213410361	0000000620	Bayer (Pty) Ltd	701417001	D07AC	S4	Advantan Scalp Solution	Methylprednisolone Aceponate	1 mg/g SCL	20	1	162.66	22.18	27.73	212.57	10.63		Originator
37570227	0000000620	Bayer (Pty) Ltd	702044001	R06AX	S2	Deselex Syrup	Desloratadine	2.5 mg/5ml SYR	150	1	209.69	20.94	34.59	265.22	1.77	2018-04-01	Originator
37570227	0000000620	Bayer (Pty) Ltd	702044002	R06AX	S2	Deselex Syrup	Desloratadine	2.5 mg/5ml SYR	100	1	139.94	13.97	23.09	177	1.77		Originator
37570227	0000000620	Bayer (Pty) Ltd	702044003	R06AX	S2	Deselex Syrup	Desloratadine	2.5 mg/5ml SYR	50	1	69.96	6.99	11.54	88.49	1.77	2018-04-01	Originator
36340146	0000000620	Bayer (Pty) Ltd	702516001	M05BA	S4	Bonephos	Disodium Clodronate	800 mg TAB	60	1	2359.58	321.77	402.2	3083.55	51.39	2018-04-01	Originator
3720110250	0000000620	Bayer (Pty) Ltd	702981001	J01MA	S4	Ciprobay Xr 500	Ciprofloxacin	500 mg TAB	3	1	54.34	4.26	8.79	67.39	22.46		Originator
3721820451	0000000620	Bayer (Pty) Ltd	703438001	G03HB	S4	Angeliq	Drospirenone	2 mg TAB	28	1	224.56	30.64	38.28	293.48	10.48	2018-04-01	Originator
3721820451	0000000620	Bayer (Pty) Ltd	703438001	G03HB	S4	Angeliq	Estradiol Hemihydrate										
3613120028	0000000620	Bayer (Pty) Ltd	703471003	D10AX	S1	Skinoren Acne Gel	Azelaic Acid	0.149 g/g GEL	30	1	153.43	20.9	26.15	200.48	6.68	2018-04-01	Originator
R2112160	0000000620	Bayer (Pty) Ltd	703583018	G03HA	S4	Androcur	Cyproterone Acetate	50 mg TAB	20	1	522.62	71.27	89.08	682.97	34.15	2018-04-01	Originator
3820110024	0000000620	Bayer (Pty) Ltd	705589001	J01MA	S4	Ciprobay Xr 1000	Ciprofloxacin	1000 mg TAB	7	1	145.63	14.36	24	183.99	26.28		Originator
A39350016	0000000620	Bayer (Pty) Ltd	705892001	V10XX	S4	Zevalin	Ibritumomab Tiuxetan	1.6 mg/ml VIA	4	1	164275.13	22401.15	28001.44	214677.72	53669.43	2018-04-01	Originator
A382170641	0000000620	Bayer (Pty) Ltd	706461001	G03BA	S5	Nebido	Testosterone Undecanoate	1000 mg/4ml AMP	4	1	1593.73	217.3	271.65	2082.68	520.67		Originator
3220220250	0000000620	Bayer (Pty) Ltd	706717001	A01AB	S4	Canesten Troche	Clotrimazole 	10 mg LOZ	70	1	137.86	8.28	21.92	168.06	2.4	2018-04-01	Originator
34280384	0000000620	Bayer (Pty) Ltd	708299001	V08CA	S2	Gadovist 10 Ml	Gadobutrol	604.72 mg/ml PFS	10	5	2590.1	353.18	441.49	3384.77	67.7	2018-04-01	Originator
34280385	0000000620	Bayer (Pty) Ltd	708300001	V08CA	S2	Gadovist Vial	Gadobutrol	604.72 mg/ml VIA	15	10	8323.86	1135.06	1418.84	10877.76	72.52		Originator
A40260776	0000000620	Bayer (Pty) Ltd	708482002	L01XE	S4	Nexavar 	Sorafenib	200 mg TAB	60	1	10980.53	1085.99	1809.98	13876.5	231.27	2018-04-01	Originator
P1223	0000000620	Bayer (Pty) Ltd	708607004	P02BA	S4	Biltricide Tabs 600Mg 10S	Praziquantel	600 mg TAB	10	1	359.81	30.47	58.54	448.82	44.88		Originator
P1223	0000000620	Bayer (Pty) Ltd	708607012	P02BA	S4	Biltricide Tabs 600Mg 1000'S	Praziquantel	600 mg TAB	1000	1	9924.33	633.47	1583.67	12141.47	12.14	2018-04-01	Originator
A40280001	0000000620	Bayer (Pty) Ltd	709128001	V08CA	S2	Primovist	Gadoxetic Acid Disodium	181.43 mg/ml SOL	10	1	1767.43	172.75	291.03	2231.21	223.12	2018-04-01	Originator
41811086	0000000620	Bayer (Pty) Ltd	711415001	B02BD	S4	Kogenate Fs 250	Recombinant Factor Viii	250 mg INJ	10	1	1336.19	132.13	220.25	1688.57	168.86		Originator
41811087	0000000620	Bayer (Pty) Ltd	711416001	B02BD	S4	Kogenate Fs 500	Recombinant Factor Viii	500 mg INJ	10	1	2672.4	264.29	440.5	3377.19	337.72	2018-04-01	Originator
41811088	0000000620	Bayer (Pty) Ltd	711417001	B02BD	S4	Kogenate Fs 1000	Recombinant Factor Viii	1000 mg INJ	10	1	5344.8	528.58	881.01	6754.39	675.44		Originator
A39710634	0000000620	Bayer (Pty) Ltd	711607001	C08CA	S3	Adalat Retard 20Mg	Nifedipine	20 mg TAB	28	1	176.94	15.37	28.85	221.16	7.9	2018-04-01	Originator
E202249	0000000620	Bayer (Pty) Ltd	712205004	D01AC	S1	Canesten Topical Cream	Clotrimazole 	10 mg/g CRO	20	1	75.07	7.2	12.34	94.61	4.73	2018-04-01	Originator
E202247	0000000620	Bayer (Pty) Ltd	712213007	G01AF	S1	Canesten Vaginal Tablets	Clotrimazole 	100 mg VAT	6	1	145.87	14.05	23.99	183.91	30.65		Originator
Q2022281	0000000620	Bayer (Pty) Ltd	712264019	G01AF	S1	Canesten 1 Vaginal Tablet	Clotrimazole 	500 mg VAT	1	1	106.77	10.26	17.55	134.58	134.58	2018-04-01	Originator
4121820842	0000000620	Bayer (Pty) Ltd	712856001	G03AA	S3	YazÂ®	Drospirenone Clathrate	3 mg TAB	28	1	136.1	18.54	23.2	177.84	6.35		Originator
4121820842	0000000620	Bayer (Pty) Ltd	712856001	G03AA	S3	YazÂ®	 Ethinyl Estradiol										
42821046	0000000620	Bayer (Pty) Ltd	714238001	B01AX	S4	Xarelto 10	Rivaroxaban	10 mg TAB	10	1	244.93	27.66	40.89	313.48	31.35	2018-04-01	Originator
42821046	0000000620	Bayer (Pty) Ltd	714238002	B01AX	S4	Xarelto 10	Rivaroxaban	10 mg TAB	30	1	734.8	83.01	122.67	940.48	31.35		Originator
4220110593	0000000620	Bayer (Pty) Ltd	715146001	J01MA	S4	Moxibay Tablets	Moxifloxacin	400 mg TAB	5	1	161.03	19.32	27.05	207.4	41.48	2018-04-01	Originator
4220110593	0000000620	Bayer (Pty) Ltd	715146002	J01MA	S4	Moxibay Tablets	Moxifloxacin	400 mg TAB	10	1	322.05	38.65	54.11	414.81	41.48		Originator
431880591	0000000620	Bayer (Pty) Ltd	716676001	G03AB	S3	Qlaira	Estradiol Valerate	3 mg TAB	28	1	133.29	18.17	22.72	174.18	6.22	2018-04-01	Originator
431880591	0000000620	Bayer (Pty) Ltd	716676001	G03AB	S3	Qlaira	Estradiol Valerate										
431880591	0000000620	Bayer (Pty) Ltd	716676001	G03AB	S3	Qlaira	Dienogest										
431880591	0000000620	Bayer (Pty) Ltd	716676001	G03AB	S3	Qlaira	Dienogest										
431880591	0000000620	Bayer (Pty) Ltd	716676001	G03AB	S3	Qlaira	Estradiol Valerate										
447151049	0000000620	Bayer (Pty) Ltd	717985001	G04BE	S4	Levitra ODT 10	Vardenafil	10 mg TAB	4	1	241.48	23.49	39.75	304.72	76.18	2018-04-01	Originator
355710208	0000000620	Bayer (Pty) Ltd	718393001	R06AX	S2	Neoclarityne Tablets	Desloratadine	5 mg TAB	10	1	35.27	3.44	5.81	44.52	4.45	2018-04-01	Originator
355710208	0000000620	Bayer (Pty) Ltd	718393002	R06AX	S2	Neoclarityne Tablets	Desloratadine	5 mg TAB	30	1	105.92	10.36	17.44	133.72	4.46		Originator
4421820159	0000000620	Bayer (Pty) Ltd	718451001	G03DB	S3	Visanne	Dienogest 	2 mg TAB	28	1	258.5	35.23	44.06	337.79	12.06	2018-04-01	Originator
A3920220589	0000000620	Bayer (Pty) Ltd	718559001	G01AF	S1	Canesten 3VC	Clotrimazole	20 mg/g VCR	20	1	137.84	17.72	23.33	178.89	8.94		Originator
33280082	0000000620	Bayer (Pty) Ltd	718852001	V08AB	S4	Ultravist 300 200ml	Iopromide	623.399 mg/ml LIQ	200	10	8008.73	1092.07	1365.12	10465.92	5.23	2018-04-01	Originator
44710341	0000000620	Bayer (Pty) Ltd	719449001	C08CA	S3	Gitsalat 30	Nifedipine	30 mg TAB	28	1	154.64	9.12	24.56	188.32	6.73	2018-04-01	Originator
44710342	0000000620	Bayer (Pty) Ltd	719450001	C08CA	S3	Gitsalat 60	Nifedipine	60 mg TAB	28	1	220.97	13.09	35.11	269.17	9.61		Originator
46820111	0000000620	Bayer (Pty) Ltd	719859001	B01A	S4	Xarelto 15	Rivaroxaban	15 mg TAB	42	1	1080.85	64.12	171.75	1316.72	31.35	2018-04-01	Originator
46820112	0000000620	Bayer (Pty) Ltd	719860001	B01A	S4	Xarelto 20	Rivaroxaban	20 mg TAB	28	1	720.65	42.71	114.5	877.86	31.35		Originator
375710226	0000000620	Bayer (Pty) Ltd	720028001	R06AX	S2	Neoclarityne Syrup	Desloratadine	2.5 mg/5ml SYRUP	50	1	55.89	5.89	9.27	71.05	1.42	2018-04-01	Originator
375710226	0000000620	Bayer (Pty) Ltd	720028002	R06AX	S2	Neoclarityne Syrup	Desloratadine	2.5 mg/5ml SYRUP	150	1	167.71	17.71	27.81	213.23	1.42	2018-04-01	Originator
47261005	0000000620	Bayer (Pty) Ltd	720787001	L01XE	S4	Stivarga 40 mg	Regorafenib	40 mg TAB	28	3	44520	1780.8	6945.12	53245.92	633.88		Originator
H1376(Act1011965)	0000000620	Bayer (Pty) Ltd	721441009	R01AB	S1	Drixine 0.05% Adult	Oxymetazoline Hydrochloride	0.5 mg/ml NSS	20	1	35.9	3.59	5.92	45.41	2.27	2018-04-01	Originator
H26312	0000000620	Bayer (Pty) Ltd	721514006	L01AX	S4	Dtic Inj 200Mg 1S	Dacarbazine	200 mg VIA	1	1	169.42	11.33	27.11	207.86	207.86		Originator
H1376(Act1011965)	0000000620	Bayer (Pty) Ltd	721976001	R01AB	S1	Drixine 0.05% Adult	Oxymetazoline Hydrochloride	0.5 mg/ml NAS	20	1	67.35	6.72	11.11	85.18	4.26	2018-04-01	Originator
V28177	0000000620	Bayer (Pty) Ltd	722505001	V08AB	S4	Ultravist 300 100ml	Iopromide	623 mg/ml PFS	100	5	3639.08	218.34	578.61	4436.03	8.87	2018-04-01	Originator
V28179	0000000620	Bayer (Pty) Ltd	722506001	V08AB	S4	Ultravist 370 100ml	Iopromide	769 mg/ml PFS	100	5	4248.44	254.9	675.5	5178.84	10.36		Originator
461540841	0000000620	Bayer (Pty) Ltd	722548001	S01LA	S4	Eylea	Aflibercept	40 mg/ml INJ	0.1	1	6376.98	382.62	1013.94	7773.54	77735.4	2018-04-01	Originator
4832150715	0000000620	Bayer (Pty) Ltd	722864001	V10XX	S4	Xofigo	Radium Ra 223 Dichloride	1100 kBq/ml at reference date INJ	1	1	50387.72	1000	7708.16	59095.88	59095.88		Originator
4521820534	0000000620	Bayer (Pty) Ltd	723730001	G03AA	S4	Yaz Plus	Drospirenone (24 Pink)	3 mg FCT	28	1	145.4	9.28	23.2	177.88	6.35	2018-04-01	Originator
4521820534	0000000620	Bayer (Pty) Ltd	723730001	G03AA	S4	Yaz Plus	Ethinylestradiol As Betadex Clathrate (24 Pink)										
4521820534	0000000620	Bayer (Pty) Ltd	723730001	G03AA	S4	Yaz Plus	Levomefolate Calcium (24 Pink)										
4521820534	0000000620	Bayer (Pty) Ltd	723730001	G03AA	S4	Yaz Plus	Levomefolate Calcium (4 Light Orange)										
451880535	0000000620	Bayer (Pty) Ltd	723736001	G03AA	S4	Yasmin Plus	Drospirenone (21 Orange)	3 mg FCT	28	1	120.24	7.67	19.19	147.1	5.25		Originator
451880535	0000000620	Bayer (Pty) Ltd	723736001	G03AA	S4	Yasmin Plus	Ethinylestradiol Betadex Clathrate (21 Orange)										
451880535	0000000620	Bayer (Pty) Ltd	723736001	G03AA	S4	Yasmin Plus	Levomefolate Calcium (7 Light Orange)										
h282842	0000000620	Bayer (Pty) Ltd	728314002	V08AB	S2	Gastrografin	Sodium Amidotrizoate	100 mg/1ml LIQ	100	1	637.72	85.95	108.55	832.22	8.32		Originator
h282842	0000000620	Bayer (Pty) Ltd	728314002	V08AB	S2	Gastrografin	Meglumine Amidotrizoate										
R1392203	0000000620	Bayer (Pty) Ltd	745251005	D01AC	S1	Canespor Cream	Bifonazole	10 mg/g CRE	15	1	97.98	8.72	16.01	122.71	8.18		Originator
H1341218	0000000620	Bayer (Pty) Ltd	746703007	D07AC	S4	Nerisone Cream	Diflucortolone Valerate	1 mg/g CRO	15	1	95.82	13.03	16.33	125.18	8.35	2018-04-01	Originator
H1341220	0000000620	Bayer (Pty) Ltd	746711018	D07AC	S4	Nerisone Fatty Ointment	Diflucortolone Valerate	1 mg/g OIN	15	1	95.82	13.03	16.33	125.18	8.35	2018-04-01	Originator
P2216	0000000620	Bayer (Pty) Ltd	747394008	N05CD	S5	Noctamid	Lormetazepam	1 mg TAB	30	1	154.76	21.09	26.38	202.23	6.74		Originator
J2182136	0000000620	Bayer (Pty) Ltd	748552006	G03AA	S4	Nur-Isterate	Norethisterone Enantate	200 mg/ml AMP	1	1	44.56	6.07	7.59	58.22	58.22	2018-04-01	Originator
J2182136	0000000620	Bayer (Pty) Ltd	748552014	G03AA	S4	Nur-Isterate (Para-State )	Norethisterone Enantate	200 mg/ml AMP	1	100	989.58	134.94	168.68	1293.2	12.93		Originator
D216202	0000000620	Bayer (Pty) Ltd	756954002	A14AA	S5	Primobolan S	Metenolone Acetate	25 mg TAB	50	1	1370.33	186.83	233.57	1790.73	35.81	2018-04-01	Originator
G3120	0000000620	Bayer (Pty) Ltd	756989019	G03CA	S4	Primogyn Depot	Estradiol Valerate	10 mg AMP	3	1	503.54	68.67	85.83	658.04	219.35	2018-04-01	Originator
G21823124	0000000620	Bayer (Pty) Ltd	757012019	G03AC	S4	Primolut N	Noresthisterone	5 mg TAB	30	1	197.99	27	33.75	258.74	8.62		Originator
G21823124	0000000620	Bayer (Pty) Ltd	757012027	G03CA	S4	Primolut N	Noresthisterone	5 mg TAB	150	1	989.74	135.11	168.73	1293.58	8.62	2018-04-01	Originator
B218116	0000000620	Bayer (Pty) Ltd	757330002	G03CA	S4	Progynova	Estradiol Valerate	1 mg SCT	21	1	78.6	10.7	13.4	102.7	4.89		Originator
G2981	0000000620	Bayer (Pty) Ltd	757349005	G03CA	S4	Progynova	Estradiol Valerate	2 mg SCT	21	1	107.23	14.62	18.28	140.13	6.67	2018-04-01	Originator
B217137	0000000620	Bayer (Pty) Ltd	757950019	G03BB	S5	Proviron	Mesterolone	25 mg TAB	20	1	199.48	27.18	34	260.66	13.03	2018-04-01	Originator
B217137	0000000620	Bayer (Pty) Ltd	757950027	G03BB	S5	Proviron	Mesterolone	25 mg TAB	100	1	997.3	135.98	169.99	1303.27	13.03		Originator
GX2026207	0000000620	Bayer (Pty) Ltd	767921003	P01CX	S4	Suramin	Suramin	1 g TAB	5	1	651.56	41.58	103.97	797.11	159.42	2018-04-01	Originator
N1341171	0000000620	Bayer (Pty) Ltd	771937016	D07XD	S4	Travocort	Isoconazole Nitrate	10 mg/g CRO	20	1	168.58	22.95	28.73	220.26	11.01		Originator
N1341171	0000000620	Bayer (Pty) Ltd	771937016	D07XD	S4	Travocort	Diflucortolone Valerate										
H282843	0000000620	Bayer (Pty) Ltd	774154004	V08AB	S2	Urografin 60%	Sodium Amidotrizoate	1.6 g/ml AMP	20	10	1349.91	184.35	230.14	1764.4	8.82	2018-04-01	Originator
H282843	0000000620	Bayer (Pty) Ltd	774154004	V08AB	S2	Urografin 60%	Sodium Amidotrizoate										
H282844	0000000620	Bayer (Pty) Ltd	774162007	V08AB	S2	Urografin 76%	Sodium Amidotrizoate	2 g/ml AMP	20	10	1631.77	222.49	278.14	2132.4	10.66	2018-04-01	Originator
H282844	0000000620	Bayer (Pty) Ltd	774162007	V08AB	S2	Urografin 76%	Sodium Amidotrizoate										
F28606	0000000620	Bayer (Pty) Ltd	774170018	V08AB	S2	Urografin 30%	Sodium Amidotrizoate	9.849 g/ml LIQ	250	1	703.05	94.71	119.66	917.42	3.67	2018-04-01	Originator
F28606	0000000620	Bayer (Pty) Ltd	774170018	V08AB	S2	Urografin 30%	Sodium Amidotrizoate										
S71393	0000000620	Bayer (Pty) Ltd	783889003	C08CA	S3	Adalat Retard 20Mg	Nifedipine	20 mg TAB	60	1	550.83	43.02	89.08	682.93	11.38		Originator
U2011126	0000000620	Bayer (Pty) Ltd	784354006	J01MA	S4	Ciprobay Tabs 250Mg 10S	Ciprofloxacin	250 mg TAB	10	1	114.69	10.05	18.71	143.45	14.35	2018-04-01	Originator
U2011128	0000000620	Bayer (Pty) Ltd	784362009	J01MA	S4	Ciprobay Tabs 750Mg 10S	Ciprofloxacin	750 mg TAB	10	1	430.51	37.38	70.18	538.07	53.81		Originator
U57127	0000000620	Bayer (Pty) Ltd	785113002	R06AX	S2	Clarityne Tablets	Loratadine	10 mg TAB	30	1	43.92	4.39	7.25	55.56	1.85	2018-04-01	Originator
U57127	0000000620	Bayer (Pty) Ltd	785113030	R06AX	S2	Clarityne Tablets	Loratadine	10 mg TAB	20	1	29.28	2.92	4.83	37.03	1.85	2018-04-01	Originator
U57127	0000000620	Bayer (Pty) Ltd	785113031	R06AX	S2	Clarityne Tablets	Loratadine	10 mg TAB	5	1	7.32	0.72	1.21	9.25	1.85		Originator
U57127	0000000620	Bayer (Pty) Ltd	785113032	R06AX	S2	Clarityne Tablets	Loratadine	10 mg TAB	10	1	14.62	1.45	2.41	18.48	1.85	2018-04-01	Originator
U2011127	0000000620	Bayer (Pty) Ltd	786403004	J01MA	S4	Ciprobay Tabs 500Mg 10S	Ciprofloxacin	500 mg TAB	10	1	154.83	14.08	25.34	194.25	19.42		Originator
Y2011311	0000000620	Bayer (Pty) Ltd	786969008	J01MA	S4	Ciprobay IV 200mg 100ml	Ciprofloxacin	200 mg/100ml INJ	100	1	199.51	16.99	32.48	248.98	2.49	2018-04-01	Originator
Y2011311	0000000620	Bayer (Pty) Ltd	786977019	J01MA	S4	Ciprobay IV 100mg 50ml	Ciprofloxacin	100 mg/50ml INJ	50	1	99.48	8.8	16.24	124.52	2.49	2018-04-01	Originator
Z57156	0000000620	Bayer (Pty) Ltd	789291002	R06AX	S2	Clarityne Syrup	Loratadine	5 mg/5ml SYR	100	1	64.41	7.14	10.73	82.28	0.82		Originator
R2112159	0000000620	Bayer (Pty) Ltd	791970019	G03HA	S4	Androcur	Cyproterone Acetate	10 mg TAB	15	1	282.75	38.53	48.19	369.47	24.63	2018-04-01	Originator
R2112184	0000000620	Bayer (Pty) Ltd	792462009	G03HA	S4	Androcur Depot	Cyproterone Acetate	300 mg INJ	3	3	616.64	84.05	105.1	805.79	89.53		Originator
X1341385	0000000620	Bayer (Pty) Ltd	793086035	D07AC	S4	Advantan Ointment	Methylprednisolone Aceponate	1 mg/g OIN	50	1	356.26	48.56	60.72	465.54	9.31	2018-04-01	Originator
X1341385	0000000620	Bayer (Pty) Ltd	793086043	D07AC	S4	Advantan Ointment	Methylprednisolone Aceponate	1 mg/g OIN	20	1	142.49	19.43	24.29	186.21	9.31	2018-04-01	Originator
X1341384	0000000620	Bayer (Pty) Ltd	793108020	D07AC	S4	Advantan Cream	Methylprednisolone Aceponate	1 mg/g CRO	50	1	356.26	48.56	60.72	465.54	9.31		Originator
X1341384	0000000620	Bayer (Pty) Ltd	793108039	D07AC	S4	Advantan Cream	Methylprednisolone Aceponate	1 mg/g CRO	20	1	142.49	19.43	24.29	186.21	9.31	2018-04-01	Originator
X1341386	0000000620	Bayer (Pty) Ltd	793116023	D07AC	S4	Advantan Fatty Ointment	Methylprednisolone Aceponate	1 mg/g OIN	50	1	356.26	48.56	60.72	465.54	9.31		Originator
X1341386	0000000620	Bayer (Pty) Ltd	793116031	D07AC	S4	Advantan Fatty Ointment	Methylprednisolone Aceponate	1 mg/g OIN	20	1	142.49	19.43	24.29	186.21	9.31	2018-04-01	Originator
Y71314	0000000620	Bayer (Pty) Ltd	793124026	C08CA	S3	Adalat Xl Tabs 30Mg 28S	Nifedipine	30 mg TAB	28	1	185.1	15.88	30.15	231.13	8.25	2018-04-01	Originator
Y71315	0000000620	Bayer (Pty) Ltd	793132010	C08CA	S3	Adalat Xl Tabs 60Mg 28S	Nifedipine	60 mg TAB	28	1	256.31	22.01	41.75	320.07	11.43		Originator
T71229	0000000620	Bayer (Pty) Ltd	793353009	C08CA	S3	Nimotop Tabs 30Mg 100S	Nimodipine	30 mg TAB	100	1	879.17	77.3	143.47	1099.94	11	2018-04-01	Originator
T71230	0000000620	Bayer (Pty) Ltd	793361001	C08CA	S3	Nimotop Iv 50Ml	Nimodipine	10 mg/50ml INJ	50	1	326.66	25.49	52.82	404.97	8.1		Originator
R1392204	0000000620	Bayer (Pty) Ltd	793957001	D01AC	S1	Canespor Solution	Bifonazole	10 mg/ml SPR	25	1	147.46	13.62	24.16	185.24	7.41	2018-04-01	Originator
W1312228	0000000620	Bayer (Pty) Ltd	794171001	D10AX	S1	Skinoren Acne Cream	Azelaic Acid	0.2 g/g CRO	30	1	153.43	20.9	26.15	200.48	6.68	2018-04-01	Originator
27580373	0000000620	Bayer (Pty) Ltd	794589031	R01BA	S2	Demazin NS Repetabs	Loratadine 	5 mg SRT	6	1	30.07	3.35	5.01	38.43	6.41		Originator
277140294	0000000620	Bayer (Pty) Ltd	796891001	C08CA	S3	Adalat Retard 10Mg	Nifedipine	10 mg TAB	60	1	290.98	33.7	48.7	373.38	6.22	2018-04-01	Originator
282120425	0000000620	Bayer (Pty) Ltd	808156004	A10BF	S4	Glucobay 50Mg 90S	Acarbose	50 mg TAB	90	1	223.95	20.66	36.69	281.3	3.13		Originator
282120426	0000000620	Bayer (Pty) Ltd	808164007	A10BF	S4	Glucobay 100mg	Acarbose	100 mg TAB	90	1	329.76	31.02	54.12	414.9	4.61	2018-04-01	Originator
V28176	0000000620	Bayer (Pty) Ltd	810584018	V08AB	S4	Ultravist 300 50ml	Iopromide	623 mg/ml LIQ	50	10	1970.25	268.67	335.84	2574.76	5.15	2018-04-01	Originator
V28177	0000000620	Bayer (Pty) Ltd	810592029	V08AB	S4	Ultravist 300 100ml	Iopromide	623 mg/ml LIQ	100	10	3940.53	537.32	671.68	5149.53	5.15		Originator
V28178	0000000620	Bayer (Pty) Ltd	810606038	V08AB	S4	Ultravist 370 50ml	Iopromide	769 mg/ml LIQ	50	10	2570.42	350.63	438.16	3359.21	6.72	2018-04-01	Originator
V28179	0000000620	Bayer (Pty) Ltd	810614049	V08AB	S4	Ultravist 370 100ml	Iopromide	769 mg/ml LIQ	100	10	5142.95	693.14	875.41	6711.5	6.71		Originator
H1376(Act1011965)	0000000620	Bayer (Pty) Ltd	814199003	R01AB	S1	Drixine 0.05% Adult	Oxymetazoline Hydrochloride	0.5 mg/ml NAS	10	1	52.5	5.24	8.66	66.4	6.64	2018-04-01	Originator
28280642	0000000620	Bayer (Pty) Ltd	818151013	V08AB	S4	Ultravist 300 75ml	Iopromide	623 mg/ml LIQ	75	10	2955.38	402.99	503.76	3862.13	5.15	2018-04-01	Originator
Y2182275	0000000620	Bayer (Pty) Ltd	818550007	G03HB	S4	Climen	Estradiol Valerate	2 mg SCT	28	1	158.56	21.58	27.02	207.16	7.4		Originator
Y2011311	0000000620	Bayer (Pty) Ltd	819581003	J01MA	S4	Ciprobay IV 400mg 200ml	Ciprofloxacin	400 mg/200ml INJ	200	1	397.87	35.61	65.02	498.5	2.49	2018-04-01	Originator
V28175	0000000620	Bayer (Pty) Ltd	820482005	V08AB	S4	Ultravist 300 20ml	Iopromide	623 mg/ml VIA	20	10	1194.16	160.92	203.26	1558.34	7.79		Originator
2921810610	0000000620	Bayer (Pty) Ltd	824631005	G03CA	S4	Climara 50	Estradiol Hemihydrate	3.899 mg PTD	4	1	127.12	17.29	21.66	166.07	41.52	2018-04-01	Originator
2921810611	0000000620	Bayer (Pty) Ltd	824658019	G03CA	S4	Climara 100	Estradiol Hemihydrate	7.799 mg PTD	4	1	135.15	18.4	23.03	176.58	44.15	2018-04-01	Originator
3020220111	0000000620	Bayer (Pty) Ltd	825042003	A01AB	S1	Canesten Duopak	Clotrimazole 	10 mg/g VCP	1	1	119.24	11.47	19.61	150.32	150.32		Originator
W2182317	0000000620	Bayer (Pty) Ltd	825816009	G03AA	S3	Triodene 	Gestodene	0.05 mg SCT	28	1	86.04	11.59	14.64	112.27	4.01	2018-04-01	Originator
W2182317	0000000620	Bayer (Pty) Ltd	825816009	G03AA	S3	Triodene 	Ethinylestradiol										
V2182300	0000000620	Bayer (Pty) Ltd	825859018	G03HB	S4	Diane-35	Cyproterone Acetate	2 mg SCT	28	1	135.14	18.23	23.01	176.38	6.3	2018-04-01	Originator
V2182300	0000000620	Bayer (Pty) Ltd	825859018	G03HB	S4	Diane-35	Ethinylestradiol										
