drug_code,ingredient_name,strength
83237,ETHINYL ESTRADIOL,0.035 MG
83249,ACETAMINOPHEN,80 MG
83254,LIDOCAINE (LIDOCAINE HYDROCHLORIDE),100 MG
83255,DEXTROSE,100 MG
83256,DIDECYL DIMETHYL AMMONIUM CHLORIDE,1.953 %
83257,BENZALKONIUM CHLORIDE,4.34 %
83276,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,1.302 %
83279,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,3.255 %
83286,DIPHENHYDRAMINE HYDROCHLORIDE,2 %
83303,INSULIN INJECTION HUMAN BIOSYNTHETIC,100 UNIT
83304,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,100 UNIT
83307,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,60 UNIT
83319,INSULIN INJECTION HUMAN BIOSYNTHETIC,40 UNIT
83320,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,70 UNIT
83336,INSULIN INJECTION HUMAN BIOSYNTHETIC,30 UNIT
83343,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,100 UNIT
83344,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,70 UNIT
83379,INSULIN INJECTION HUMAN BIOSYNTHETIC,30 UNIT
83385,INSULIN ISOPHANE HUMAN BIOSYNTHETIC,50 UNIT
83386,INSULIN INJECTION HUMAN BIOSYNTHETIC,50 UNIT
83395,VITAMIN B12,5000 MCG
83402,PENICILLIN G PROCAINE,300000 UNIT
83404,PENICILLIN G BENZATHINE,150000 UNIT
83405,PENICILLIN G PROCAINE,150000 UNIT
83406,ACETAMINOPHEN,500 MG
83407,CAFFEINE,65 MG
83408,BERACTANT,25 MG
83411,BENZALKONIUM CHLORIDE,0.8 %
83412,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,0.8 %
83413,BUMETANIDE,5 MG
83419,CHOLESTYRAMINE RESIN,4 G
83428,TETRACYCLINE HYDROCHLORIDE,250 MG
83444,BUMETANIDE,1 MG
83448,PENICILLIN G PROCAINE,110 G
83451,DESOGESTREL,0.15 MG
83452,ETHINYL ESTRADIOL,0.03 MG
83457,DESOGESTREL,0.15 MG
83476,ETHINYL ESTRADIOL,0.03 MG
83479,CLOBETASOL PROPIONATE,0.05 %
83481,CLOBETASOL PROPIONATE,0.05 %
83493,ACETAMINOPHEN,500 MG
83510,ENALAPRIL MALEATE,2.5 MG
83525,ENALAPRIL MALEATE,5 MG
83526,ENALAPRIL MALEATE,10 MG
83533,ENALAPRIL MALEATE,20 MG
83534,IOVERSOL,74 %
83535,AMANTADINE HYDROCHLORIDE,50 MG
83536,MORPHINE SULFATE,60 MG
83537,MORPHINE SULFATE,15 MG
83538,GONADORELIN ACETATE,50 MCG
83545,PHENYLBUTAZONE,1 G
83549,DIDECYL DIMETHYL AMMONIUM CHLORIDE,9.22 %
83559,BENZALKONIUM CHLORIDE,6.14 %
90338,DESMOPRESSIN ACETATE,0.1 MG
90347,TRICLOSAN,0.3 %
90348,SODIUM FLUORIDE,0.243 %
90351,BETAMETHASONE (BETAMETHASONE DIPROPIONATE),0.05 %
90358,ACETAMINOPHEN,160 MG
90360,ACETAMINOPHEN,160 MG
90361,INSULIN INJECTION HUMAN BIOSYNTHETIC,100 UNIT
90363,ACETAMINOPHEN,325 MG
90364,PROPOFOL,1 %
90365,DOCUSATE SODIUM,100 MG
90366,IODINE,60 MG
90368,SODIUM IODIDE,90 MG
90369,IBUPROFEN,200 MG
90373,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
90375,CHLORHEXIDINE GLUCONATE,4 %
90380,MORPHINE SULFATE,30 MG
90381,SUCRALFATE,1 G
90391,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),250 MG
90408,METHOCARBAMOL,400 MG
90409,ACETAMINOPHEN,325 MG
90410,ITRACONAZOLE,100 MG
90412,TERBINAFINE HYDROCHLORIDE,1 %
90413,MORPHINE SULFATE,100 MG
90415,MORPHINE SULFATE,60 MG
90416,MORPHINE SULFATE,10 MG
90422,PSEUDOEPHEDRINE HYDROCHLORIDE,15 MG
90423,DEXTROMETHORPHAN HYDROBROMIDE,7.5 MG
90424,MESALAZINE,400 MG
90425,DIFLUNISAL,500 MG
90426,DIFLUNISAL,250 MG
90427,CROMOLYN SODIUM,2 %
90428,NAPROXEN,500 MG
90429,LOPERAMIDE HYDROCHLORIDE,0.2 MG
90430,BUDESONIDE,100 MCG
90433,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),50 MG
90434,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),100 MG
90437,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),200 MG
90438,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),400 MG
90439,GLYCOPYRROLATE,0.2 MG
90440,SODIUM CHLORIDE,4.5 MG
90444,CLONAZEPAM,1 MG
90447,CLONAZEPAM,0.5 MG
90448,CLONAZEPAM,2 MG
90449,CODEINE PHOSPHATE,8 MG
90450,ACETAMINOPHEN,300 MG
90451,CAFFEINE,15 MG
90452,CODEINE PHOSPHATE,8 MG
90454,ACETAMINOPHEN,300 MG
90458,CAFFEINE,15 MG
90464,POLISTES SPP VENOM PROTEIN EXTRACT,1.1 MG
86224,WHITE FACED HORNET VENOM PROTEIN,120 MCG
86225,YELLOW HORNET VENOM PROTEIN,120 MCG
86234,YELLOW JACKET VENOM PROTEIN,120 MCG
86249,APIS MELLIFERA VENOM PROTEIN EXTRACT,120 MCG
86250,ISOFLURANE,99.9 %
86257,BENZALKONIUM CHLORIDE,2.25 %
86259,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,2.25 %
86260,PENICILLIN G POTASSIUM,500000000 UNIT
86261,PIPERONYL BUTOXIDE,3 %
86262,PYRETHRINS,0.33 %
86263,GINGER,75 MG
86264,CAPSICUM,75 MG
86265,MAGNESIUM OXIDE,15 G
86271,KAOLIN,12.37 G
86273,SODIUM THIOSULFATE,1.1 G
86274,TAMOXIFEN (TAMOXIFEN CITRATE),20 MG
86276,ESTRADIOL,2 MG
86277,SOYBEAN OIL,20 %
86278,OXYGEN,100 %
86282,PYRANTEL (PYRANTEL PAMOATE),50 MG
86284,IODIXANOL,550 MG
86287,DEXTROSE,70 G
86312,D&C RED NO. 28,5 MG
86313,IODIXANOL,652 MG
86314,FENBENDAZOLE,10 %
86317,DIDECYL DIMETHYL AMMONIUM CHLORIDE,1.35 %
86318,BENZALKONIUM CHLORIDE,3 %
86319,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.9 %
86324,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,2.25 %
86341,DIDECYL DIMETHYL AMMONIUM CHLORIDE,1.953 %
86342,BENZALKONIUM CHLORIDE,4.34 %
86350,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,1.302 %
86351,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,3.255 %
86352,HYDROCORTISONE,1 %
86353,HALOFUGINONE (HALOFUGINONE HYDROBROMIDE),6 G
86354,FLUPENTIXOL DECANOATE,100 MG
86356,FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE),0.5 MG
86367,FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE),3 MG
86368,CYCLOPENTOLATE HYDROCHLORIDE,1 %
86369,PILOCARPINE NITRATE,2 %
86370,FLUORESCEIN SODIUM,2 %
86372,TETRACAINE HYDROCHLORIDE,1 %
86373,PREDNISOLONE SODIUM PHOSPHATE,0.5 %
86378,TETRACAINE HYDROCHLORIDE,0.5 %
86381,LEVONORGESTREL,150 MCG
86391,ETHINYL ESTRADIOL,30 MCG
86395,LEVONORGESTREL,150 MCG
86407,ETHINYL ESTRADIOL,30 MCG
86409,TROPICAMIDE,1 %
86410,PHENYLEPHRINE HYDROCHLORIDE,10 %
86411,FAMCICLOVIR,500 MG
86413,BENZALKONIUM CHLORIDE,10 %
86415,BENZALKONIUM CHLORIDE,0.8 %
86416,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,0.8 %
86421,DOCUSATE SODIUM,20 MG
86422,TIMOLOL (TIMOLOL MALEATE),0.25 %
86423,TIMOLOL (TIMOLOL MALEATE),0.5 %
86424,SOTALOL HYDROCHLORIDE,160 MG
86426,GLYCERINE,9.3 %
86430,NONYL PHENOXY POLYOXYETHYLENE ETHANOL-IODINE COMPLEX,11 %
86432,MELPHALAN (MELPHALAN HYDROCHLORIDE),50 MG
86433,BUFFER SOLUTION,10 ML
86434,TETRACYCLINE HYDROCHLORIDE,4 G
86435,POLYVINYL ALCOHOL,1.4 %
86436,BENZALKONIUM CHLORIDE,2.25 %
86437,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,2.25 %
86438,FLUPENTIXOL DECANOATE,20 MG
86439,CYCLOBENZAPRINE HYDROCHLORIDE,10 MG
86440,TRICLOSAN,0.1 %
88650,BENZALKONIUM CHLORIDE,10 %
88651,METFORMIN HYDROCHLORIDE,850 MG
88652,PHENYLEPHRINE HYDROCHLORIDE,2.5 %
88653,ATROPINE SULFATE,1 %
88654,DANAPAROID SODIUM,750 UNIT
88659,BECLOMETHASONE DIPROPIONATE,50 MCG
88660,MORPHINE SULFATE,200 MG
88661,MORPHINE SULFATE,15 MG
88664,BENZALKONIUM CHLORIDE,2.25 %
88665,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,2.25 %
88666,SODIUM HYPOCHLORITE,10.4 %
88667,LEVOCARNITINE,200 MG
88668,LEVOCARNITINE,330 MG
88669,CALCIUM GLUCONATE,94 MG
88670,CALCIUM SACCHARATE,4.5 MG
88671,SODIUM CHLORIDE,234 MG
88677,HYDROCORTISONE,100 MG
88678,MOCLOBEMIDE,300 MG
88679,METHYLPREDNISOLONE ACETATE,20 MG
88680,DOCETAXEL,80 MG
88684,FENBENDAZOLE,10 %
88685,GUAIFENESIN,200 MG
88688,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
88689,NITROGLYCERIN,0.6 MG
88690,NITROGLYCERIN,0.4 MG
88691,RIFAMPIN,300 MG
88696,GUAIFENESIN,200 MG
88697,BROMAZEPAM,6 MG
88700,CLONAZEPAM,2 MG
88701,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",200 MG
88702,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",100 MG
88703,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",150 MG
88705,BROMAZEPAM,3 MG
88713,BROMAZEPAM,1.5 MG
88714,SALBUTAMOL (SALBUTAMOL SULFATE),2 MG
88717,GUAIFENESIN,200 MG
88720,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
88721,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
88722,CLONAZEPAM,.5 MG
88723,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),20 MG
88725,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),20 MG
88726,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),10 MG
88727,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),10 MG
88731,SIMETHICONE,25 MG
88737,MAGNESIUM HYDROXIDE,200 MG
88738,CALCIUM CARBONATE,200 MG
88739,SIMETHICONE,25 MG
88740,MAGNESIUM HYDROXIDE,200 MG
88741,CALCIUM CARBONATE,200 MG
88746,ACETAMINOPHEN,500 MG
88747,PHENIRAMINE MALEATE,20 MG
88749,PHENYLEPHRINE HYDROCHLORIDE,10 MG
88750,VITAMIN C,50 MG
88755,DEXTROMETHORPHAN HYDROBROMIDE,30 MG
83560,INDAPAMIDE,1.25 MG
83561,PENICILLIN G BENZATHINE,150000 UNIT
83565,PENICILLIN G PROCAINE,150000 UNIT
83566,SULFAQUINOXALINE,32.5 G
83567,PYRIMETHAMINE,9.8 G
83568,PENTOSAN POLYSULFATE SODIUM,100 MG
83569,PENICILLIN G PROCAINE,300000 UNIT
83570,LEVOCARNITINE,100 MG
83571,NIFEDIPINE,60 MG
83577,NIFEDIPINE,30 MG
83579,NEON,0.5 %
83596,OXYGEN,21.0 %
83597,NITROGEN,78.2 %
83598,CARBON MONOXIDE,0.3 %
83599,OXYGEN,21.0 %
83600,HELIUM,10.0 %
83601,NITROGEN,68.7 %
83602,CARBON MONOXIDE,0.3 %
83603,NITROUS OXIDE,50 %
83608,OXYGEN,50 %
83610,ALKYL C9-C15 TOLYL METHYL TRIMETHYL AMMONIUM CHLORI,4 %
83612,METHYL DODECYL BENZYL TRIMETHYL AMMONIUM CHLORIDE,16 %
83618,BENZALKONIUM CHLORIDE,6.25 %
83619,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,6.25 %
83620,KETOPROFEN,200 MG
83623,XYLAZINE (XYLAZINE HYDROCHLORIDE),20 MG
83627,DICLOFENAC SODIUM,75 MG
83629,L-ALANINE,1040 MG
83630,METHIONINE,290 MG
83631,TRYPTOPHAN,90 MG
83632,L-THREONINE,210 MG
83640,L-ISOLEUCINE,240 MG
83641,L-TYROSINE,20 MG
83642,L-PROLINE,210 MG
83643,L-ARGININE,520 MG
83644,L-PHENYLALANINE HYDROCHLORIDE,310 MG
83659,L-LYSINE (L-LYSINE HYDROCHLORIDE),290 MG
83660,DEXTROSE,16.6 G
83667,GLYCINE,1040 MG
83669,HISTIDINE,220 MG
83670,L-VALINE,230 MG
83671,L-LEUCINE HYDROCHLORIDE,310 MG
83672,LOSARTAN POTASSIUM,25 MG
83677,LOSARTAN POTASSIUM,50 MG
83679,ALLOPURINOL,200 MG
83682,FUROSEMIDE,80 MG
83683,FLUORESCEIN SODIUM,1 MG
83684,CEFOXITIN (CEFOXITIN SODIUM),1 G
83692,CEFOXITIN (CEFOXITIN SODIUM),2 G
83693,TINZAPARIN SODIUM,10000 UNIT
83694,FLUOCINONIDE,0.05 %
83695,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),100 MG
83696,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),50 MG
83706,CLONAZEPAM,0.25 MG
83710,BETAMETHASONE (BETAMETHASONE VALERATE),0.1 %
83711,METFORMIN HYDROCHLORIDE,500 MG
83712,HYDROCORTISONE,1 %
83716,INTERFERON BETA-1B,0.3 MG
83718,TIMOLOL (TIMOLOL MALEATE),0.5 %
83726,IPRATROPIUM BROMIDE,21 MCG
83729,CODEINE PHOSPHATE,15 MG
83733,ACETAMINOPHEN,300 MG
83734,CAFFEINE,15 MG
83735,CODEINE PHOSPHATE,30 MG
83738,ACETAMINOPHEN,300 MG
83739,CAFFEINE,15 MG
83744,CODEINE PHOSPHATE,60 MG
83745,ACETAMINOPHEN,300 MG
83747,TIMOLOL (TIMOLOL MALEATE),0.25 %
83748,METRONIDAZOLE,1 %
83749,OXYTETRACYCLINE HYDROCHLORIDE,110 G
83750,NITROUS OXIDE,99 %
83757,CARBON DIOXIDE,99 %
83758,PYRANTEL (PYRANTEL PAMOATE),125 MG
90465,FENBENDAZOLE,10 %
90466,OXYGEN,50 %
90467,HELIUM,50 %
90469,OXYGEN,23.5 %
90470,NITROGEN,76.5 %
90471,NITROGEN,99 %
90472,CHLORHEXIDINE ACETATE,10 %
90475,IODINE (NONYL PHENOXYPOLYETHOXYETHANOL-IODINE COMPLEX),1.75 %
90476,CODEINE PHOSPHATE,8 MG
90477,ACETAMINOPHEN,325 MG
90478,DOXYLAMINE SUCCINATE,5 MG
90479,FLUVASTATIN (FLUVASTATIN SODIUM),20 MG
90480,FLUVASTATIN (FLUVASTATIN SODIUM),40 MG
90482,WATER,100 %
90485,L-ALANINE,1.04 G
90486,METHIONINE,290 MG
90493,TRYPTOPHAN,90 MG
90494,L-THREONINE,210 MG
90495,L-ISOLEUCINE,240 MG
90496,L-TYROSINE,20 MG
90497,L-PROLINE,210 MG
90498,L-ARGININE,520 MG
90499,L-PHENYLALANINE HYDROCHLORIDE,310 MG
90500,DEXTROSE,20 G
90501,SODIUM CHLORIDE,58.5 MG
90504,GLYCINE,1.04 G
90505,HISTIDINE,220 MG
90506,SODIUM ACETATE,340 MG
90507,MAGNESIUM CHLORIDE,51 MG
90508,POTASSIUM PHOSPHATE DIBASIC,261 MG
90516,L-LYSINE HYDROCHLORIDE,290 MG
90517,L-VALINE,230 MG
90518,L-LEUCINE HYDROCHLORIDE,310 MG
90519,ROMIFIDINE,10 MG
90520,BENZALKONIUM CHLORIDE,10 %
90522,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),44 G
90524,DIPHENHYDRAMINE HYDROCHLORIDE,6.25 MG
90526,DANAZOL,50 MG
90530,SODIUM CARBONATE (ANHYDROUS),2 %
90531,BENZALKONIUM CHLORIDE,3 %
90535,EDETATE SODIUM,0.38 %
90545,AURANOFIN,3 MG
90546,CLAVULANIC ACID (CLAVULANATE POTASSIUM),125 MG
90547,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),500 MG
90548,LIOTHYRONINE (LIOTHYRONINE SODIUM),25 MCG
90550,LIOTHYRONINE (LIOTHYRONINE SODIUM),5 MCG
90552,CYCLOBENZAPRINE HYDROCHLORIDE,10 MG
90554,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),100 MG
90555,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),50 MG
90557,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE),20 MG
90562,GABAPENTIN,100 MG
90563,GABAPENTIN,300 MG
90564,DIDECYL DIMETHYL AMMONIUM CHLORIDE,2.31 %
90565,BENZALKONIUM CHLORIDE,1.54 %
90578,PRAMOXINE HYDROCHLORIDE,1 %
90580,HYDROCORTISONE (HYDROCORTISONE ACETATE),1 %
90585,BAMBERMYCIN,4 G
90586,DIDECYL DIMETHYL AMMONIUM CHLORIDE,0.27 %
86446,BENZALKONIUM CHLORIDE,0.72 %
86463,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.27 %
86467,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,0.54 %
86470,DIDECYL DIMETHYL AMMONIUM CHLORIDE,0.24 %
86482,BENZALKONIUM CHLORIDE,0.64 %
86489,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,0.24 %
86490,OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE,0.48 %
86491,BENZALKONIUM CHLORIDE,10 %
86506,HYDROGEN PEROXIDE,35 %
86508,MORPHINE SULFATE,5 MG
86509,THEOPHYLLINE,400 MG
86510,NONYL PHENOXYPOLYETHOXYETHANOL-IODINE COMPLEX,8.74 %
86511,POLYETHOXY POLYPROPOXY POLYETHOXY ETHANOL - IODINE COMPLEX,9.1 %
86512,LORAZEPAM,1 MG
86513,ENALAPRIL MALEATE,5 MG
86514,ENALAPRIL MALEATE,10 MG
86515,ENALAPRIL MALEATE,20 MG
86516,PROPRANOLOL HYDROCHLORIDE,80 MG
86517,PROPRANOLOL HYDROCHLORIDE,120 MG
86519,ENALAPRIL MALEATE,1 MG
86520,ENALAPRIL MALEATE,2.5 MG
86521,BUPIVACAINE HYDROCHLORIDE,2.5 MG
86525,BUPIVACAINE HYDROCHLORIDE,2.5 MG
86527,EPINEPHRINE (EPINEPHRINE BITARTRATE),5 MCG
86529,BUPIVACAINE HYDROCHLORIDE,5 MG
86533,EPINEPHRINE (EPINEPHRINE BITARTRATE),5 MCG
86534,BUPIVACAINE HYDROCHLORIDE,5 MG
86536,ACITRETIN,25 MG
86538,ACITRETIN,10 MG
86544,BACITRACIN (BACITRACIN ZINC),500 UNIT
86548,POLYMYXIN B (POLYMYXIN B SULFATE),10000 UNIT
86555,GRAMICIDIN,.25 MG
86556,SELEGILINE HYDROCHLORIDE,5 MG
86557,IOPROMIDE,50 %
86560,IOPROMIDE,62 %
86561,IOPROMIDE,77 %
86562,BENZALKONIUM CHLORIDE,0.09 %
86563,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,0.09 %
86564,BROMOCRIPTINE (BROMOCRIPTINE MESYLATE),2.5 MG
86568,GABAPENTIN,400 MG
86569,GOSERELIN (GOSERELIN ACETATE),3.6 MG
86570,COPPER (COPPER SULFATE),1 MG
86571,CHROMIUM (CHROMIC CHLORIDE),10 MCG
86577,MANGANESE (MANGANESE SULFATE),0.5 MG
86578,ZINC (ZINC SULFATE),5 MG
86585,SELENIUM (SELENIOUS ACID),60 MCG
86586,IODINE (SODIUM IODIDE),60 MCG
86587,COPPER (COPPER SULFATE),0.4 MG
86588,CHROMIUM (CHROMIC CHLORIDE),4 MCG
86589,MANGANESE (MANGANESE SULFATE),0.1 MG
86590,ZINC (ZINC SULFATE),3 MG
86591,SELENIUM (SELENIOUS ACID),20 MCG
86592,IODINE (SODIUM IODIDE),75 MCG
86593,COPPER (COPPER SULFATE),1 MG
86594,CHROMIUM (CHROMIC CHLORIDE),10 MCG
86595,MANGANESE (MANGANESE SULFATE),0.5 MG
86596,ZINC (ZINC SULFATE),5 MG
86598,SELENIUM (SELENIOUS ACID),60 MCG
86599,BENZALKONIUM CHLORIDE,0.125 %
86602,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,0.125 %
86603,BUDESONIDE,2.3 MG
86606,SODIUM CHLORIDE,115 ML
86607,GONADORELIN ACETATE,0.8 MG
86608,METHYLPREDNISOLONE ACETATE,40 MG
86616,METHYLPREDNISOLONE ACETATE,80 MG
86617,GONADORELIN (GONADORELIN DECAPEPTIDE (GNRH)),100 MCG
86618,NICOTINAMIDE,8 MG
86619,PYRIDOXINE HYDROCHLORIDE,0.8 MG
86625,BIOTIN,12 MCG
88757,VITAMIN B1 (THIAMINE HYDROCHLORIDE),0.6 MG
88758,VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE),0.72 MG
88760,VITAMIN E,2 UNIT
88761,VITAMIN D,40 UNIT
88762,VITAMIN A,660 UNIT
88766,VITAMIN C,20 MG
88767,DEXPANTHENOL,3 MG
88770,FOLIC ACID,80 MCG
88771,VITAMIN B12 (VITAMIN B12),1 MCG
88772,INSULIN ZINC PORK,40 UNIT
88773,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),110 G
88774,DICLOFENAC SODIUM,100 MG
88775,SIMVASTATIN,20 MG
88776,CODEINE PHOSPHATE,30 MG
88778,CODEINE PHOSPHATE,15 MG
88780,MORPHINE SULFATE,20 MG
88781,MORPHINE SULFATE,30 MG
88784,THEOPHYLLINE,600 MG
88785,DOCUSATE SODIUM,100 MG
88786,CHLORHEXIDINE GLUCONATE,0.5 %
88796,ISOPROPYL ALCOHOL,70 %
88797,CHLORHEXIDINE GLUCONATE,20 %
88798,ETOPOSIDE,20 MG
88799,EPINEPHRINE,5 MCG
88800,ARTICAINE HYDROCHLORIDE,40 MG
88801,VITAMIN A ACETATE,2566000 UNIT
88805,SODIUM DIACETATE,2.083 G
88806,NICOTINAMIDE,4488 MG
88807,THIAMINE HYDROCHLORIDE,462.5 MG
88808,CALCIUM D-PANTOTHENATE,3252 MG
88809,PYRIDOXINE HYDROCHLORIDE,448.8 MG
88814,BIOTIN,18700 MCG
88815,SODIUM BICARBONATE,4.166 G
88816,VITAMIN D3,561000 UNIT
88817,VITAMIN B2,1122 MG
88818,VITAMIN E,1870 UNIT
88819,VITAMIN C,555 MG
88820,POTASSIUM CHLORIDE,12.49 G
88822,SODIUM CHLORIDE,49.3 G
88823,SODIUM ACETATE,4.166 G
88824,FOLIC ACID,112.2 MG
88825,VITAMIN B12,3740 MCG
88827,MENADIONE SODIUM BISULFITE,748 MG
88828,EPINEPHRINE,0.01 MG
88829,ARTICAINE HYDROCHLORIDE,40 MG
88830,FLURBIPROFEN,50 MG
88831,FLURBIPROFEN,100 MG
88832,ORPHENADRINE CITRATE,100 MG
88833,BACLOFEN,20 MG
88834,CHARCOAL ACTIVATED,222 MG
88835,BACLOFEN,10 MG
88837,PROPRANOLOL HYDROCHLORIDE,160 MG
88842,DAPSONE,100 MG
88843,LORAZEPAM,2 MG
88845,LORAZEPAM,2 MG
88847,LORAZEPAM,1 MG
88848,LORAZEPAM,0.5 MG
88849,MICONAZOLE NITRATE,2 %
88850,MICONAZOLE NITRATE,2 %
88851,MICONAZOLE NITRATE,2 %
88852,MICONAZOLE NITRATE,400 MG
88864,MICONAZOLE NITRATE,2 %
88865,MICONAZOLE NITRATE,100 MG
88866,MICONAZOLE NITRATE,400 MG
88867,PHENYLEPHRINE HYDROCHLORIDE,20 MG
83760,HYDROCODONE BITARTRATE,5 MG
83761,HYDROCHLOROTHIAZIDE,12.5 MG
83762,LISINOPRIL,10 MG
83763,PHENYLEPHRINE HYDROCHLORIDE,10 MG
83766,HYDROCODONE BITARTRATE,1.7 MG
83774,SUCRALFATE,1 G
83777,COLLAGENASE,250 UNIT
83779,GUAIFENESIN,100 MG
83781,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
83782,DEXTROMETHORPHAN HYDROBROMIDE,15 MG
83783,PAROMOMYCIN (PAROMOMYCIN SULFATE),250 MG
83784,LIDOCAINE,2.5 %
83786,PRILOCAINE,2.5 %
83787,CONJUGATED ESTROGENS,25 MG
83790,BENZALKONIUM CHLORIDE,2.5 %
83791,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,2.5 %
83792,DIDECYL DIMETHYL AMMONIUM CHLORIDE,4.61 %
83793,BENZALKONIUM CHLORIDE,3.07 %
83794,PETROLATUM,80 %
83795,MINERAL OIL,20 %
83796,DEXTROSE,5 G
83797,SODIUM PHOSPHATE DIBASIC,410 MG
83798,CITRIC ACID,93 MG
83801,HEPARIN SODIUM,5000 UNIT
83803,ISOSORBIDE-5-MONONITRATE,60 MG
83816,LIDOCAINE HYDROCHLORIDE,2 %
83817,EPINEPHRINE (EPINEPHRINE BITARTRATE),0.01 MG
83819,ARTICAINE HYDROCHLORIDE,40.0 MG
83820,EPINEPHRINE (EPINEPHRINE BITARTRATE),0.005 MG
83821,ARTICAINE HYDROCHLORIDE,40 MG
83822,METRONIDAZOLE,0.75 %
83824,MESALAZINE,500 MG
83825,PERINDOPRIL ERBUMINE,4 MG
90594,PERINDOPRIL ERBUMINE,2 MG
90595,ESTRADIOL,24 MG
90596,TRENBOLONE ACETATE,120 MG
90597,HALOPERIDOL (HALOPERIDOL DECANOATE),100 MG
90599,HYDROCHLOROTHIAZIDE,12.5 MG
90600,LISINOPRIL,20 MG
90601,HYDROGEN PEROXIDE,0.5 %
90602,SODIUM LINEAR ALKYLATE SULFONATE,0.5 %
90603,LACTIC ACID,1.7 %
90604,IPRATROPIUM BROMIDE,250 MCG
90605,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),100 MG
90610,MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE),50 MG
90611,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),250 MG
90614,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),125 MG
90618,BEZAFIBRATE,400 MG
90620,CHLORTETRACYCLINE HYDROCHLORIDE,220 G
90623,CHLORHEXIDINE GLUCONATE,0.05 %
90624,METFORMIN HYDROCHLORIDE,500 MG
90625,RIFAMPIN,150 MG
90626,PSEUDOEPHEDRINE HYDROCHLORIDE,30 MG
90627,CHLORPHENIRAMINE MALEATE,2 MG
90628,ACETAMINOPHEN,500 MG
90629,VITAMIN A ACETATE,1280000 UNIT
90632,SODIUM DIACETATE,7.14 G
90636,NICOTINAMIDE,6.72 G
90637,CALCIUM D-PANTOTHENATE,3.2 G
90652,CHOLINE BITARTRATE,5.76 G
90655,VITAMIN D3,1000000 UNIT
90661,DL-ALPHA TOCOPHERYL ACETATE,1500 UNIT
90662,MAGNESIUM (MAGNESIUM CHLORIDE),1.82 G
90663,VITAMIN B2,1.28 G
90664,SODIUM CHLORIDE,277.71 G
